,id_old,id_apis
0,A000201,1
1,A000202,2
2,A000203,3
3,A000204,4
4,A000205,5
5,A000206,6
6,A000207,7
7,A000208,8
8,A000209,9
9,A000210,10
10,A000211,11
11,A000212,12
12,A000213,13
13,A000214,14
14,A000215,15
15,A000216,16
16,A000217,17
17,A000218,18
18,A000219,19
19,A000220,20
20,A000221,21
21,A000222,22
22,1106410947,22
23,A000223,23
24,A000224,24
25,A000225,25
26,A000226,26
27,A000227,27
28,A000228,28
29,A000229,29
30,A000230,30
31,A000231,31
32,A000232,32
33,A000233,33
34,A000234,34
35,A000235,35
36,A000236,36
37,A000237,37
38,A000238,38
39,A000239,39
40,A000240,40
41,A000241,41
42,A000242,42
43,A000243,43
44,A000244,44
45,A000245,45
46,A000246,46
47,A000247,47
48,A000248,48
49,A000249,49
50,A000250,50
51,A000251,51
52,A000252,52
53,A000253,53
54,A000254,54
55,A000255,55
56,A000256,56
57,A000257,57
58,A000258,58
59,A000259,59
60,A000260,60
61,A000261,61
62,A000262,62
63,A000263,63
64,A000264,64
65,A000265,65
66,A000266,66
67,A000267,67
68,A000268,68
69,A000269,69
70,A000270,70
71,A000271,71
72,A000272,72
73,A000273,73
74,A000274,74
75,A000275,75
76,A000276,76
77,A000277,77
78,A000278,78
79,A000279,79
80,A000280,80
81,A000281,81
82,A000282,82
83,A000283,83
84,A000284,84
85,A000285,85
86,A000286,86
87,A000287,87
88,A000288,88
89,A000289,89
90,A000290,90
91,A000291,91
92,A000292,92
93,A000293,93
94,A000294,94
95,A000295,95
96,A000296,96
97,A000297,97
98,A000298,98
99,A000299,99
100,A000300,100
101,A000301,101
102,A000302,102
103,A000303,103
104,A000304,104
105,A000305,105
106,A000306,106
107,A000307,107
108,A000308,108
109,A000309,109
110,A000310,110
111,A000311,111
112,A000312,112
113,A000313,113
114,A000314,114
115,A000315,115
116,A000316,116
117,A000317,117
118,A000318,118
119,A000319,119
120,A000320,120
121,A000321,121
122,A000322,122
123,A000323,123
124,A000324,124
125,A000325,125
126,A000326,126
127,A000327,127
128,A000328,128
129,A000329,129
130,A000330,130
131,A000331,131
132,A000332,132
133,A000333,133
134,A000334,134
135,A000335,135
136,A000336,136
137,A000337,137
138,A000338,138
139,A000339,139
140,A000340,140
141,A000341,141
142,A000342,142
143,A000343,143
144,A000344,144
145,A000345,145
146,A000346,146
147,A000347,147
148,A000348,148
149,A000349,149
150,A000350,150
151,A000351,151
152,A000352,152
