"alteNr","pmb"
"A000201",1
"A000202",2
"A000203",3
"A000204",4
"A000205",5
"A000206",6
"A000207",7
"A000208",8
"A000209",9
"A000210",10
"A000211",11
"A000212",12
"A000213",13
"A000214",14
"A000215",15
"A000216",16
"A000217",17
"A000218",18
"A000219",19
"A000220",20
"A000221",21
"A000222",22
"A000223",23
"A000224",24
"A000225",25
"A000226",26
"A000227",27
"A000228",28
"A000229",29
"A000230",30
"A000231",31
"A000232",32
"A000233",33
"A000234",34
"A000235",35
"A000236",36
"A000237",37
"A000238",38
"A000239",39
"A000240",40
"A000241",41
"A000242",42
"A000243",43
"A000244",44
"A000245",45
"A000246",46
"A000247",47
"A000248",48
"A000249",49
"A000250",50
"A000251",51
"A000252",52
"A000253",53
"A000254",54
"A000255",55
"A000256",56
"A000257",57
"A000258",58
"A000259",59
"A000260",60
"A000261",61
"A000262",62
"A000263",63
"A000264",64
"A000265",65
"A000266",66
"A000267",67
"A000268",68
"A000269",69
"A000270",70
"A000271",71
"A000272",72
"A000273",73
"A000274",74
"A000275",75
"A000276",76
"A000277",77
"A000278",78
"A000279",79
"A000280",80
"A000281",81
"A000282",82
"A000283",83
"A000284",84
"A000285",85
"A000286",86
"A000287",87
"A000288",88
"A000289",89
"A000290",90
"A000291",91
"A000292",92
"A000293",93
"A000294",94
"A000295",95
"A000296",96
"A000297",97
"A000298",98
"A000299",99
"A000300",100
"A000301",101
"A000302",102
"A000303",103
"A000304",104
"A000305",105
"A000306",106
"A000307",107
"A000308",108
"A000309",109
"A000310",110
"A000311",111
"A000312",112
"A000313",113
"A000314",114
"A000315",115
"A000316",116
"A000317",117
"A000318",118
"A000319",119
"A000320",120
"A000321",121
"A000322",122
"A000323",123
"A000324",124
"A000325",125
"A000326",126
"A000327",127
"A000328",128
"A000329",129
"A000330",130
"A000331",131
"A000332",132
"A000333",133
"A000334",134
"A000335",135
"A000336",136
"A000337",137
"A000338",138
"A000339",139
"A000340",140
"A000341",141
"A000342",142
"A000343",143
"A000344",144
"A000345",145
"A000346",146
"A000347",147
"A000348",148
"A000349",149
"A000350",150
"A000351",151
"A000352",152
"A000353",153
"A000354",154
"A000355",155
"A000356",156
"A000357",157
"A000358",158
"A000359",159
"A000360",160
"A000361",161
"A000362",162
"A000363",163
"A000364",164
"A000365",165
"A000366",166
"A000367",167
"A000368",168
"A000369",169
"A000370",170
"A000371",171
"A000372",172
"A000373",173
"A000374",174
"A000375",175
"A000376",176
"A000377",177
"A000378",178
"A000379",179
"A000380",180
"A000381",181
"A000382",182
"A000383",183
"A000384",184
"A000385",185
"A000386",186
"A000387",187
"A000388",188
"A000389",189
"A000390",190
"A000391",191
"A000392",192
"A000393",193
"A000394",194
"A000395",195
"A000396",196
"A000397",197
"A000398",198
"A000399",199
"A000400",200
"A000401",201
"A000402",202
"A000403",203
"A000404",204
"A000405",205
"A000406",206
"A000408",208
"A000409",209
"A000410",210
"A000411",211
"A000412",212
"A000413",213
"A000414",214
"A000415",215
"A000416",216
"A000417",217
"A000418",218
"A000419",219
"A000420",220
"A000421",221
"A000422",222
"A000423",223
"A000424",224
"A000425",225
"A000426",226
"A000427",227
"A000428",228
"A000429",229
"A000430",230
"A000431",231
"A000432",232
"A000433",233
"A000434",234
"A000435",235
"A000436",236
"A000437",237
"A000438",238
"A000439",239
"A000440",240
"A000441",241
"A000442",242
"A000443",243
"A000444",244
"A000445",245
"A000446",246
"A000447",247
"A000448",248
"A000449",249
"A000450",250
"A000451",251
"A000452",252
"A000453",253
"A000454",254
"A000455",255
"A000456",256
"A000457",257
"A000458",258
"A000459",259
"A000460",260
"A000461",261
"A000462",262
"A000463",263
"A000464",264
"A000465",265
"A000466",266
"A000467",267
"A000468",268
"A000469",269
"A000470",270
"A000471",271
"A000472",272
"A000473",273
"A000474",274
"A000475",275
"A000476",276
"A000477",277
"A000478",278
"A000480",279
"A000481",280
"A000482",281
"A000483",282
"A000484",283
"A000485",284
"A000486",285
"A000487",286
"A000488",287
"A000489",288
"A000490",289
"A000491",290
"A000492",291
"A000493",292
"A000494",293
"A000495",294
"A000496",295
"A000497",296
"A000498",297
"A000499",298
"A000500",299
"A000501",300
"A000502",301
"A000503",302
"A000504",303
"A000505",304
"A000506",305
"A000507",306
"A000508",307
"A000509",308
"A000510",309
"A000511",310
"A000512",311
"A000513",312
"A000514",313
"A000515",314
"A000516",315
"A000517",316
"A000518",317
"A000519",318
"A000520",319
"A000521",320
"A000522",321
"A000523",322
"A000524",323
"A000525",324
"A000526",325
"A000527",326
"A000528",327
"A000529",328
"A000530",329
"A000531",330
"A000533",332
"A000534",333
"A000535",334
"A000536",335
"A000537",336
"A000538",337
"A000539",338
"A000540",339
"A000541",340
"A000542",341
"A000543",342
"A000544",343
"A000545",344
"A000546",345
"A000547",346
"A000548",347
"A000549",348
"A000550",349
"A000551",350
"A000552",351
"A000553",352
"A000554",353
"A000555",354
"A000557",356
"A000558",357
"A000559",358
"A000560",359
"A000561",360
"A000562",361
"A000563",362
"A000564",363
"A000565",364
"A000566",365
"A000567",366
"A000568",367
"A000569",368
"A000570",369
"A000571",370
"A000572",371
"A000573",372
"A000574",373
"A000575",374
"A000576",375
"A000577",376
"A000578",377
"A000579",378
"A000580",379
"A000581",380
"A000582",381
"A000583",382
"A000584",383
"A000585",384
"A000586",385
"A000587",386
"A000588",387
"A000589",388
"A000590",389
"A000591",390
"A000592",35658
"A000593",392
"A000594",393
"A000595",394
"A000596",395
"A000597",396
"A000598",397
"A000599",36300
"A000600",399
"A000601",400
"A000602",401
"A000603",402
"A000604",403
"A000605",404
"A000606",405
"A000607",406
"A000608",407
"A000609",408
"A000610",409
"A000611",410
"A000612",411
"A000613",412
"A000614",413
"A000615",414
"A000616",415
"A000617",416
"A000618",417
"A000619",418
"A000620",419
"A000621",420
"A000622",421
"A000623",422
"A000624",423
"A000625",424
"A000626",425
"A000627",426
"A000628",427
"A000629",428
"A000630",429
"A000631",430
"A000632",431
"A000633",432
"A000634",433
"A000635",434
"A000636",435
"A000637",436
"A000638",437
"A000639",438
"A000640",439
"A000641",440
"A000642",441
"A000643",442
"A000645",444
"A000646",445
"A000647",446
"A000648",447
"A000649",448
"A000650",449
"A000651",450
"A000652",451
"A000653",452
"A000654",453
"A000655",454
"A000656",455
"A000657",456
"A000658",457
"A000659",458
"A000660",459
"A000661",460
"A000662",461
"A000663",462
"A000664",463
"A000665",464
"A000666",465
"A000667",466
"A000668",467
"A000669",468
"A000670",469
"A000671",470
"A000672",471
"A000673",472
"A000674",473
"A000675",474
"A000676",475
"A000677",476
"A000678",477
"A000679",478
"A000680",479
"A000681",480
"A000682",481
"A000683",482
"A000684",483
"A000685",484
"A000686",485
"A000687",486
"A000688",487
"A000689",488
"A000690",489
"A000691",490
"A000692",491
"A000693",492
"A000694",493
"A000695",494
"A000696",495
"A000697",496
"A000698",497
"A000699",498
"A000700",499
"A000701",500
"A000702",501
"A000703",502
"A000704",503
"A000705",504
"A000706",505
"A000707",506
"A000708",507
"A000709",508
"A000710",509
"A000711",510
"A000712",511
"A000713",512
"A000714",513
"A000715",514
"A000716",515
"A000717",516
"A000718",517
"A000719",518
"A000720",519
"A000721",520
"A000722",521
"A000723",522
"A000724",34903
"A000725",524
"A000726",525
"A000727",526
"A000728",527
"A000729",528
"A000730",529
"A000731",530
"A000732",531
"A000733",532
"A000734",533
"A000735",534
"A000736",535
"A000737",536
"A000738",537
"A000739",538
"A000740",539
"A000741",540
"A000742",541
"A000743",542
"A000744",543
"A000745",544
"A000746",545
"A000747",546
"A000748",547
"A000749",548
"A000750",549
"A000751",550
"A000752",551
"A000753",552
"A000754",553
"A000755",554
"A000756",555
"A000757",556
"A000758",557
"A000759",558
"A000760",559
"A000761",560
"A000762",561
"A000763",562
"A000764",563
"A000765",564
"A000766",565
"A000767",566
"A000768",567
"A000769",568
"A000770",569
"A000771",570
"A000772",571
"A000773",572
"A000774",573
"A000775",574
"A000776",575
"A000777",576
"A000778",577
"A000779",578
"A000780",579
"A000781",580
"A000782",581
"A000783",582
"A000784",583
"A000785",584
"A000786",585
"A000787",586
"A000788",587
"A000789",588
"A000790",589
"A000791",590
"A000792",591
"A000793",592
"A000794",593
"A000795",594
"A000796",595
"A000797",596
"A000798",597
"A000799",598
"A000800",599
"A000801",600
"A000802",601
"A000803",38444
"A000804",603
"A000805",604
"A000806",605
"A000807",606
"A000808",607
"A000809",608
"A000810",609
"A000811",610
"A000812",611
"A000813",612
"A000814",613
"A000815",614
"A000816",615
"A000817",616
"A000818",617
"A000819",618
"A000820",619
"A000821",620
"A000822",621
"A000823",622
"A000824",623
"A000825",624
"A000826",625
"A000827",626
"A000828",627
"A000829",628
"A000830",629
"A000831",630
"A000832",631
"A000833",632
"A000834",633
"A000835",634
"A000836",635
"A000837",636
"A000838",637
"A000839",638
"A000840",639
"A000841",640
"A000842",641
"A000843",642
"A000844",643
"A000845",644
"A000846",645
"A000847",646
"A000848",647
"A000849",648
"A000850",649
"A000851",650
"A000852",651
"A000853",652
"A000854",653
"A000855",654
"A000856",655
"A000857",656
"A000858",657
"A000859",658
"A000860",659
"A000861",660
"A000862",661
"A000863",662
"A000864",663
"A000865",664
"A000866",665
"A000867",666
"A000868",667
"A000869",668
"A000870",669
"A000871",670
"A000872",671
"A000873",672
"A000874",673
"A000875",674
"A000876",675
"A000877",676
"A000878",677
"A000879",678
"A000880",679
"A000881",680
"A000882",681
"A000883",682
"A000884",683
"A000885",684
"A000886",685
"A000887",686
"A000888",687
"A000889",688
"A000890",689
"A000891",690
"A000892",691
"A000893",692
"A000894",693
"A000895",694
"A000896",695
"A000897",696
"A000898",697
"A000899",698
"A000900",699
"A000901",700
"A000902",701
"A000903",702
"A000904",703
"A000905",704
"A000906",705
"A000907",706
"A000908",707
"A000909",708
"A000910",709
"A000911",710
"A000912",711
"A000913",712
"A000914",713
"A000915",714
"A000916",715
"A000917",716
"A000918",717
"A000919",718
"A000920",719
"A000921",720
"A000922",721
"A000923",722
"A000924",723
"A000925",724
"A000927",726
"A000928",727
"A000929",728
"A000930",729
"A000931",730
"A000932",731
"A000933",732
"A000934",733
"A000935",734
"A000936",735
"A000937",736
"A000938",737
"A000939",738
"A000940",739
"A000941",740
"A000942",741
"A000943",742
"A000944",743
"A000945",744
"A000946",745
"A000947",746
"A000948",747
"A000949",748
"A000950",749
"A000951",750
"A000952",751
"A000953",752
"A000954",753
"A000955",754
"A000956",755
"A000957",756
"A000959",758
"A000960",759
"A000961",760
"A000962",761
"A000963",762
"A000964",763
"A000965",764
"A000966",765
"A000967",766
"A000968",767
"A000969",768
"A000970",769
"A000971",770
"A000972",771
"A000973",772
"A000974",773
"A000975",774
"A000976",775
"A000977",776
"A000978",777
"A000979",778
"A000980",779
"A000981",780
"A000982",781
"A000983",782
"A000984",783
"A000985",784
"A000986",785
"A000987",786
"A000988",787
"A000989",788
"A000990",789
"A000991",790
"A000992",791
"A000993",792
"A000994",793
"A000995",794
"A000996",795
"A000997",796
"A000998",797
"A000999",798
"A001000",799
"A001001",800
"A001002",801
"A001003",802
"A001004",803
"A001005",804
"A001006",805
"A001007",806
"A001008",36503
"A001009",808
"A001010",809
"A001011",810
"A001012",811
"A001013",812
"A001014",813
"A001015",814
"A001016",815
"A001017",816
"A001018",817
"A001019",818
"A001020",819
"A001021",820
"A001022",821
"A001023",822
"A001024",823
"A001025",824
"A001026",825
"A001027",826
"A001028",827
"A001029",828
"A001030",829
"A001031",830
"A001032",831
"A001033",832
"A001034",833
"A001035",834
"A001036",835
"A001037",836
"A001038",837
"A001039",838
"A001040",839
"A001041",840
"A001042",841
"A001043",842
"A001044",843
"A001045",844
"A001046",845
"A001047",846
"A001048",847
"A001049",848
"A001050",849
"A001051",850
"A001052",851
"A001053",852
"A001054",853
"A001055",854
"A001056",855
"A001057",856
"A001058",857
"A001059",34896
"A001060",859
"A001061",860
"A001062",861
"A001063",862
"A001064",863
"A001065",864
"A001066",865
"A001067",866
"A001068",867
"A001069",868
"A001070",869
"A001071",870
"A001072",871
"A001073",872
"A001074",873
"A001075",874
"A001076",875
"A001077",876
"A001078",877
"A001079",878
"A001081",880
"A001082",881
"A001083",882
"A001084",883
"A001085",884
"A001086",885
"A001087",886
"A001088",887
"A001089",888
"A001090",889
"A001091",890
"A001092",891
"A001093",892
"A001094",893
"A001095",894
"A001096",895
"A001097",896
"A001098",897
"A001099",898
"A001100",899
"A001101",900
"A001102",901
"A001103",902
"A001104",903
"A001105",904
"A001106",905
"A001107",906
"A001108",907
"A001109",908
"A001110",909
"A001111",910
"A001112",911
"A001113",912
"A001114",913
"A001115",914
"A001116",915
"A001117",916
"A001118",917
"A001119",918
"A001120",919
"A001121",920
"A001122",921
"A001123",922
"A001124",923
"A001125",924
"A001126",925
"A001127",926
"A001128",927
"A001129",928
"A001130",929
"A001131",930
"A001132",931
"A001133",932
"A001134",933
"A001135",934
"A001136",935
"A001137",936
"A001138",937
"A001139",938
"A001140",939
"A001141",940
"A001142",941
"A001143",942
"A001144",943
"A001145",944
"A001146",945
"A001147",946
"A001148",947
"A001149",948
"A001150",949
"A001151",950
"A001152",951
"A001153",36545
"A001154",953
"A001155",954
"A001156",955
"A001157",956
"A001158",957
"A001159",958
"A001160",959
"A001161",960
"A001162",961
"A001163",962
"A001164",963
"A001165",964
"A001166",965
"A001167",966
"A001168",967
"A001169",968
"A001170",969
"A001171",970
"A001172",971
"A001173",972
"A001175",974
"A001176",975
"A001177",976
"A001178",977
"A001179",978
"A001180",979
"A001181",980
"A001182",981
"A001183",982
"A001184",983
"A001185",984
"A001186",985
"A001187",986
"A001189",987
"A001190",988
"A001191",989
"A001192",990
"A001193",991
"A001194",992
"A001195",993
"A001196",994
"A001197",995
"A001198",996
"A001199",997
"A001200",998
"A001201",999
"A001202",1000
"A001203",1001
"A001204",1002
"A001205",1003
"A001206",1004
"A001207",1005
"A001208",1006
"A001209",1007
"A001210",1008
"A001211",1009
"A001212",1010
"A001213",1011
"A001214",1012
"A001215",1013
"A001216",1014
"A001217",1015
"A001218",1016
"A001219",1017
"A001220",1018
"A001221",1019
"A001222",1020
"A001223",1021
"A001224",1022
"A001225",1023
"A001226",1024
"A001227",1025
"A001228",1026
"A001229",1027
"A001230",1028
"A001231",1029
"A001232",1030
"A001233",1031
"A001234",1032
"A001235",1033
"A001236",1034
"A001237",1035
"A001238",1036
"A001239",1037
"A001240",1038
"A001241",1039
"A001242",1040
"A001243",1041
"A001244",1042
"A001245",1043
"A001246",1044
"A001247",1045
"A001248",1046
"A001249",1047
"A001250",1048
"A001251",1049
"A001252",1050
"A001253",1051
"A001254",1052
"A001255",1053
"A001256",1054
"A001257",1055
